self_id,id1,id2,id3,id4,id5,id6,id7,id8
13350,16638,24059,7675,28350,56887,22450,7673,60686
13545,25812,27590,18448,11789,18450,18449,11958,12143
13548,19123,19309,72064,1418,67507,5916,28950,5481
13583,42904,34368,20199,55353,49707,14397,45701,59827
13816,514,17655,11900,23669,18203,47596,5756,21436
14014,9511,19149,11664,13006,19139,19260,59439,53158
14241,20204,14348,1535,1521,2572,1504,727,54028
14242,42904,25952,55353,59827,14397,44686,20199,14243
14243,18533,59826,32222,32661,32923,14242,38866,25049
14299,8203,52239,70135,56404,9118,26007,13084,73020
14300,18279,14300,1537,6138,12992,1535,1536,12655
14301,20243,62695,38827,15131,15139,15140,8769,57792
14348,14241,1535,14300,1537,18279,20112,6138,23660
14394,14396,21191,11897,21694,14397,42904,59827,25952
14395,1521,429,54059,53959,54000,54028,54134,54330
14396,21191,21694,11897,14394,59827,55353,44686,42904
14397,14397,59827,55353,20199,42904,44686,18573,23668
14413,56979,39480,27828,58941,47880,13282,56982,14589
14435,71559,30571,45628,42332,42331,42195,45855,24244
14454,23616,18713,22622,53908,20860,24185,29227,5972
14589,27828,6150,25101,47245,14592,13282,14413,8950
14591,14413,25101,6150,14592,66433,13282,10656,6968
14592,72767,6150,13282,65447,14589,32371,56979,58941
14973,36661,31487,34326,33880,18293,71157,33698,23315
15062,47880,39480,62442,43514,27586,60704,62717,56982
15130,15131,15139,20243,11899,75788,75787,11126,11263
15131,15139,15131,11126,15130,23328,17160,14435,15140
15139,15139,15131,11126,15130,23328,17160,14435,15140
15140,17160,75063,37046,69069,69242,62689,57792,51749
15202,15203,51834,22272,39606,41084,20817,965,7348
15203,20505,20504,15654,15202,6034,22272,43108,42591
15204,56540,53795,69865,41688,51710,47693,36391,37952
15244,20447,46238,69515,64538,69826,69828,60875,54411
15280,13261,23729,22962,5008,9117,11709,7425,18293
15291,15292,54060,48148,33227,960,962,3824,11757
15292,15292,54060,48148,33227,960,962,3824,11757
15339,9511,11664,13006,15369,7448,12155,14014,50448
15369,27664,27666,61340,11664,13006,9511,19201,49864
15401,7167,5537,8422,3606,1550,1504,429,727
15474,10649,43516,59983,59986,55097,73290,65636,75449
15550,17525,3537,10001,24722,24989,17655,2599,16083
15578,20169,40319,14397,20199,59827,42904,55353,25952
15654,20505,15654,6034,15203,2106,1550,1622,429
15660,63020,39008,66430,73291,39007,64379,31935,63460
15797,36522,36167,21753,14454,49237,40153,1123,29687
15894,68447,44082,64487,33242,55951,73646,50089,51733
16073,16115,23474,21607,17537,24905,33927,2784,20470
16074,5441,11757,7463,17538,21822,4073,19960,34146
16079,30248,61105,30484,61938,43922,52312,43920,31625
16083,17525,8424,75788,55461,75787,11899,47570,71164
16115,16073,23474,16074,4073,17538,5441,7675,7463
16122,21652,51575,27588,76417,64879,72130,17124,17059
16417,22697,71164,3537,5256,17285,49731,69255,7047
16491,43364,73291,55097,73290,65636,75449,39007,40004
16638,7675,13350,24059,56887,22450,28350,39299,60686
16692,10649,16695,38982,8679,15474,6825,3619,965
16693,19551,18604,16695,27865,34393,21246,30371,30682
16695,16693,61937,27865,69609,68088,34393,18604,19551
16818,75155,20022,41557,31790,18968,38261,18310,53158
16892,5617,19895,16894,16893,37174,19898,20367,25252
16893,5617,19898,16892,22213,47843,20367,56687,56688
16894,19895,16892,19898,5617,562,16893,1152,512
17010,7693,25918,25468,10656,1123,1546,8422,19201
17059,17059,29727,16122,30372,14243,22907,27597,11493
17070,17536,17072,19869,23563,21824,30247,25422,6761
17072,17072,25422,19869,30247,23563,6761,17070,31596
17094,21688,47541,25656,63863,64851,64847,20893,64850
17124,17059,29727,16122,30372,14243,22907,27597,11493
17160,15140,15139,33445,37046,62689,69069,63117,69242
17162,53362,7360,13009,12421,36039,51793,51814,36037
17183,562,18203,8575,21436,17285,75787,11899,75788
17285,22697,20901,511,638,3537,5256,18203,23669
17499,47646,5360,22272,47695,727,54059,54028,54134
17525,3537,15550,24722,17655,16083,514,454,13816
17536,17070,19869,30247,23563,21824,25422,17072,6761
17537,17557,21762,19337,12181,17536,967,17070,21753
17538,21822,19960,11757,16074,5441,24905,35036,7463
17557,17557,17537,19337,12181,967,62419,41816,965
17566,32625,17566,12982,12421,15244,6769,40176,7167
17610,29198,28668,36982,28096,46650,20038,42830,51874
17655,13020,5756,8575,11899,18203,75788,75787,17525
17737,26419,26418,51599,75683,7811,26420,7810,12155
18091,53579,43438,6551,21556,1154,33624,20470,2106
18203,18382,25386,8575,562,24473,17285,11900,17183
18279,18279,14300,1537,6138,12992,1535,1536,12655
18293,18310,23729,20310,33880,70395,35386,72989,73020
18294,35386,23315,73020,72989,55192,33880,19274,71157
