self_id,id1,id2,id3,id4,id5,id6,id7,id8
11757,21822,33644,7348,20539,966,19960,57110,47658
11789,4904,429,3824,4073,20470,34146,1550,5441
11896,4073,24905,24059,4904,20478,3824,1550,7463
11897,11757,21822,966,33644,7348,20539,19960,1504
11899,4073,1550,25414,20478,961,4904,3824,175
11900,5441,20478,34146,10784,17538,20470,4073,28350
11958,12143,11753,19099,429,1622,1550,34146,4904
11963,4073,4904,429,1550,3824,20478,1622,5441
12073,429,4073,2106,3824,436,34146,4904,1550
12143,11958,436,11753,3824,5411,4904,429,4073
12155,17538,20470,429,1554,24905,7463,34146,1525
12181,16074,16115,17538,20470,5441,34146,7463,37518
12186,43312,4014,20575,1621,36862,48519,7672,4073
12197,4904,3824,1622,3939,4073,429,1550,5441
12386,12492,12835,4073,429,4904,1550,5441,34146
12421,4073,1550,3824,5441,17538,4904,20470,1622
12492,12386,12835,727,1324,36670,7463,29145,2106
12655,429,4904,4073,1622,3824,1550,436,5441
12734,7348,1504,11757,21822,33644,1123,966,40153
12754,4904,3824,429,4073,1550,1622,7463,5441
12824,21822,966,33644,11757,20539,178,1324,727
12835,12386,12492,3606,7463,3939,1504,1123,36670
12928,43312,20575,36862,1621,4014,4073,5411,507
12982,17538,5441,20470,34146,34590,429,7463,4073
12992,4904,3824,1622,7463,429,17538,5441,20470
13006,1550,429,2106,5441,20470,34146,4073,20478
13009,4073,1550,20478,5441,34146,20470,17538,25414
13020,4073,5441,34146,20478,20470,429,1550,43312
13084,7463,1504,3939,3606,60511,21822,33644,7348
13112,5441,10784,33624,28350,34146,960,20478,4073
13152,9906,34146,36270,4073,20470,429,24905,4904
13241,34146,4904,4073,1622,5441,1550,429,20478
13261,34146,429,4904,20478,17538,4073,20470,5441
13276,7463,24905,4904,3606,1622,17538,3939,3824
13282,13350,52211,6523,62782,73498,53906,54134,46252
13289,7463,25382,1622,5441,4904,24905,1550,4073
13349,436,429,2106,4073,5411,29145,1525,1550
13350,52211,6523,13282,62782,73498,53906,46252,54134
13545,17538,24905,7463,20470,60511,429,1504,3824
13548,429,2106,1525,4073,5411,3824,5441,436
13583,429,5411,4073,1550,2106,5441,4904,34146
13816,5441,17538,20470,34146,10784,20478,37518,7463
14014,429,2106,5411,4073,1525,436,1550,3824
14241,429,2106,5441,1525,20470,4073,34146,20478
14242,17538,24905,20470,7463,4904,5441,3824,1622
14243,429,5411,2106,3824,4073,4904,436,34146
14299,7348,1504,1123,3939,176,7463,60511,40153
14300,24905,3824,17538,2572,3939,5761,20470,60511
14301,7348,1504,33644,21822,966,3939,7463,60511
14348,429,5411,4904,5441,3824,4073,1525,2106
14394,7672,36862,429,2106,24059,5411,20575,1621
14395,5441,4073,1550,1622,429,4904,20478,34146
14396,429,5411,2106,4073,1550,20478,5441,34146
14397,2106,436,4073,34146,20478,5441,429,20470
14413,7348,1504,7463,3939,7324,3606,20539,21822
14435,4904,4073,1550,3824,5441,429,20478,34146
14454,61864,20470,24905,17538,34146,7463,5441,4073
14589,7463,1622,1550,5441,4904,36670,4073,3824
14591,4073,34146,20470,436,429,20478,17538,1550
14592,7348,1504,1123,33644,40153,21822,20539,7463
14973,7463,4904,3939,3824,1622,3606,60511,1504
15062,5441,10784,28350,960,33624,4073,20470,1550
15130,1504,7463,3606,60511,7348,33644,21822,3939
15131,15139,1622,5441,1550,7463,4904,4073,17538
15139,15131,20478,5441,1550,10784,1622,17538,20470
15140,4904,3939,1622,7463,3824,5441,17538,1550
15202,1622,5441,17538,7463,1550,4904,4073,20470
15203,43312,20575,36862,4014,1621,24059,48519,34146
